Wavelength, W/m2 
339.619, -   
340, -   
340.381, -   
340.762, -   
341.143, -   
341.524, -   
341.904, -   
342.285, -   
342.666, -   
343.046, -   
343.427, -   
343.807, -   
344.188, -   
344.568, -   
344.949, -   
345.329, -   
345.71, -   
346.09, -   
346.47, 1.0984 
346.85, 0.2448 
347.23, 0.1391 
347.611, 0.0926 
347.991, 0.0865 
348.371, 0.0613 
348.751, 0.0625 
349.131, 0.0721 
349.511, 0.0390 
349.891, 0.0390 
350.27, 0.0374 
350.65, 0.0442 
351.03, 0.0445 
351.41, 0.0449 
351.79, 0.0456 
352.169, 0.0486 
352.549, 0.0385 
352.928, 0.0469 
353.308, 0.0403 
353.687, 0.0514 
354.067, 0.0455 
354.446, 0.0440 
354.826, 0.0443 
355.205, 0.0438 
355.584, 0.0392 
355.964, 0.0558 
356.343, 0.0399 
356.722, 0.0482 
357.101, 0.0493 
357.48, 0.0486 
357.859, 0.0440 
358.238, 0.0436 
358.617, 0.0430 
358.996, 0.0402 
359.375, 0.0371 
359.754, 0.0331 
360.133, 0.0422 
360.512, 0.0422 
360.891, 0.0443 
361.269, 0.0391 
361.648, 0.0407 
362.027, 0.0350 
362.405, 0.0384 
362.784, 0.0441 
363.162, 0.0324 
363.541, 0.0337 
363.919, 0.0324 
364.298, 0.0416 
364.676, 0.0298 
365.054, 0.0343 
365.433, 0.0377 
365.811, 0.0316 
366.189, 0.0405 
366.567, 0.0300 
366.945, 0.0305 
367.323, 0.0284 
367.701, 0.0252 
368.079, 0.0273 
368.457, 0.0257 
368.835, 0.0321 
369.213, 0.0289 
369.591, 0.0393 
369.969, 0.0279 
370.346, 0.0302 
370.724, 0.0333 
371.102, 0.0207 
371.479, 0.0345 
371.857, 0.0309 
372.235, 0.0276 
372.612, 0.0297 
372.99, 0.0299 
373.367, 0.0258 
373.744, 0.0231 
374.122, 0.0303 
374.499, 0.0252 
374.876, 0.0287 
375.254, 0.0316 
375.631, 0.0354 
376.008, 0.0321 
376.385, 0.0335 
376.762, 0.0331 
377.139, 0.0337 
377.516, 0.0314 
377.893, 0.0216 
378.27, 0.0328 
378.647, 0.0295 
379.024, 0.0305 
379.4, 0.0266 
