Wavelength, W/m2 
346.47, 1.2040 
346.85, 0.2241 
347.23, 0.1176 
347.611, 0.1410 
347.991, 0.0910 
348.371, 0.0773 
348.751, 0.0523 
349.131, 0.0814 
349.511, 0.0682 
349.891, 0.0601 
350.27, 0.0636 
350.65, 0.0597 
351.03, 0.0445 
351.41, 0.0584 
351.79, 0.0532 
352.169, 0.0516 
352.549, 0.0659 
352.928, 0.0514 
353.308, 0.0559 
353.687, 0.0653 
354.067, 0.0534 
354.446, 0.0565 
354.826, 0.0669 
355.205, 0.0582 
355.584, 0.0563 
355.964, 0.0644 
356.343, 0.0630 
356.722, 0.0591 
357.101, 0.0483 
357.48, 0.0522 
357.859, 0.0493 
358.238, 0.0496 
358.617, 0.0561 
358.996, 0.0523 
359.375, 0.0474 
359.754, 0.0511 
360.133, 0.0527 
360.512, 0.0523 
360.891, 0.0375 
361.269, 0.0515 
361.648, 0.0500 
362.027, 0.0531 
362.405, 0.0438 
362.784, 0.0480 
363.162, 0.0495 
363.541, 0.0440 
363.919, 0.0464 
364.298, 0.0483 
364.676, 0.0418 
365.054, 0.0465 
365.433, 0.0371 
365.811, 0.0394 
366.189, 0.0438 
366.567, 0.0439 
366.945, 0.0384 
367.323, 0.0420 
367.701, 0.0469 
368.079, 0.0420 
368.457, 0.0407 
368.835, 0.0383 
369.213, 0.0263 
369.591, 0.0355 
369.969, 0.0396 
370.346, 0.0385 
370.724, 0.0448 
371.102, 0.0424 
371.479, 0.0422 
371.857, 0.0416 
372.235, 0.0372 
372.612, 0.0383 
372.99, 0.0410 
373.367, 0.0368 
373.744, 0.0335 
374.122, 0.0298 
374.499, 0.0355 
374.876, 0.0361 
375.254, 0.0374 
375.631, 0.0379 
376.008, 0.0391 
376.385, 0.0283 
376.762, 0.0338 
377.139, 0.0289 
377.516, 0.0293 
377.893, 0.0381 
378.27, 0.0392 
378.647, 0.0364 
379.024, 0.0324 
379.4, 0.0351 
379.777, 0.0287 
380.154, 0.0415 
380.53, 0.0342 
380.907, 0.0316 
381.284, 0.0300 
381.66, 0.0332 
382.037, 0.0262 
382.413, 0.0293 
382.79, 0.0298 
383.166, 0.0286 
383.542, 0.0317 
383.919, 0.0286 
384.295, 0.0304 
384.671, 0.0313 
385.047, 0.0300 
385.423, 0.0294 
385.799, 0.0242 
386.176, 0.0290 
386.552, 0.0270 
386.928, 0.0286 
387.303, 0.0310 
387.679, 0.0269 
388.055, 0.0294 
388.431, 0.0301 
388.807, 0.0296 
389.183, 0.0302 
389.558, 0.0261 
389.934, 0.0333 
390.309, 0.0273 
390.685, 0.0239 
391.061, 0.0264 
391.436, 0.0274 
391.811, 0.0275 
392.187, 0.0248 
392.562, 0.0273 
392.938, 0.0287 
393.313, 0.0245 
393.688, 0.0237 
394.063, 0.0257 
394.438, 0.0229 
394.814, 0.0259 
395.189, 0.0258 
395.564, 0.0251 
395.939, 0.0214 
396.314, 0.0213 
396.689, 0.0259 
397.063, 0.0213 
397.438, 0.0211 
397.813, 0.0232 
398.188, 0.0245 
398.563, 0.0222 
398.937, 0.0204 
399.312, 0.0215 
399.686, 0.0218 
400.061, 0.0201 
400.435, 0.0207 
400.81, 0.0207 
401.184, 0.0219 
401.559, 0.0204 
401.933, 0.0232 
402.307, 0.0229 
402.682, 0.0215 
403.056, 0.0183 
403.43, 0.0221 
403.804, 0.0279 
404.178, 0.0291 
404.552, 0.0236 
404.926, 0.0204 
405.3, 0.0203 
405.674, 0.0186 
406.048, 0.0257 
406.422, 0.0190 
406.796, 0.0222 
407.169, 0.0223 
407.543, 0.0214 
407.917, 0.0205 
408.291, 0.0214 
408.664, 0.0204 
409.038, 0.0197 
409.411, 0.0241 
409.785, 0.0241 
410.158, 0.0229 
410.531, 0.0203 
410.905, 0.0203 
411.278, 0.0208 
411.651, 0.0214 
412.025, 0.0212 
412.398, 0.0213 
412.771, 0.0209 
413.144, 0.0231 
413.517, 0.0202 
413.89, 0.0385 
414.263, 0.0203 
414.636, 0.0223 
415.009, 0.0223 
415.382, 0.0222 
415.755, 0.0208 
416.127, 0.0217 
416.5, 0.0209 
416.873, 0.0238 
417.245, 0.0249 
417.618, 0.0243 
417.991, 0.0246 
418.363, 0.0273 
418.736, 0.0260 
419.108, 0.0248 
419.48, 0.0271 
419.853, 0.0269 
420.225, 0.0301 
420.597, 0.0270 
420.97, 0.0284 
421.342, 0.0299 
421.714, 0.0291 
422.086, 0.0326 
422.458, 0.0316 
422.83, 0.0340 
423.202, 0.0350 
423.574, 0.0353 
423.946, 0.0341 
424.318, 0.0342 
424.69, 0.0340 
425.061, 0.0398 
425.433, 0.0408 
425.805, 0.0446 
426.177, 0.0470 
426.548, 0.0490 
426.92, 0.0485 
427.291, 0.0485 
427.663, 0.0523 
428.034, 0.0562 
428.406, 0.0588 
428.777, 0.0588 
429.148, 0.0660 
429.519, 0.0710 
429.891, 0.0745 
430.262, 0.0725 
430.633, 0.0748 
431.004, 0.0790 
431.375, 0.0845 
431.746, 0.0874 
432.117, 0.0912 
432.488, 0.1044 
432.859, 0.1040 
433.23, 0.1101 
433.601, 0.1137 
433.971, 0.1280 
434.342, 0.1299 
434.713, 0.1509 
435.083, 0.1608 
435.454, 0.1708 
435.825, 0.1625 
436.195, 0.1665 
436.566, 0.1698 
436.936, 0.1822 
437.306, 0.1950 
437.677, 0.2003 
438.047, 0.2152 
438.417, 0.2221 
438.788, 0.2348 
439.158, 0.2420 
439.528, 0.2624 
439.898, 0.2700 
440.268, 0.2899 
440.638, 0.3006 
441.008, 0.3211 
441.378, 0.3376 
