Wavelength, W/m2 
346.47,0.4494
346.85,0.1651
347.23,0.0526
347.611,0.1512
347.991,0.0843
348.371,0.0675
348.751,0.0932
349.131,0.0702
349.511,0.0806
349.891,0.0668
350.27,0.0648
350.65,0.0608
351.03,0.0647
351.41,0.0726
351.79,0.0631
352.169,0.052
352.549,0.064
352.928,0.0675
353.308,0.0637
353.687,0.0616
354.067,0.0714
354.446,0.0629
354.826,0.0669
355.205,0.0624
355.584,0.0709
355.964,0.0775
356.343,0.0554
356.722,0.0608
357.101,0.0547
357.48,0.0622
357.859,0.0565
358.238,0.0746
358.617,0.0538
358.996,0.0568
359.375,0.0474
359.754,0.0517
360.133,0.0543
360.512,0.0557
360.891,0.0537
361.269,0.0505
361.648,0.0457
362.027,0.0479
362.405,0.0447
362.784,0.0399
363.162,0.0531
363.541,0.0522
363.919,0.0493
364.298,0.0448
364.676,0.051
365.054,0.0428
365.433,0.0535
365.811,0.0498
366.189,0.0501
366.567,0.0463
366.945,0.0446
367.323,0.0468
367.701,0.0442
368.079,0.0438
368.457,0.0441
368.835,0.0391
369.213,0.0335
369.591,0.0467
369.969,0.0413
370.346,0.0507
370.724,0.0403
371.102,0.0426
371.479,0.0409
371.857,0.0502
372.235,0.0448
372.612,0.0476
372.99,0.0395
373.367,0.0467
373.744,0.0362
374.122,0.0461
374.499,0.0369
374.876,0.037
375.254,0.0418
375.631,0.0418
376.008,0.0362
376.385,0.0422
376.762,0.038
377.139,0.037
377.516,0.0333
377.893,0.0349
378.27,0.0391
378.647,0.0408
379.024,0.0349
379.4,0.0375
379.777,0.0415
380.154,0.0384
380.53,0.0362
380.907,0.0322
381.284,0.0358
381.66,0.0316
382.037,0.0369
382.413,0.0378
382.79,0.0292
383.166,0.0379
383.542,0.0357
383.919,0.034
384.295,0.0358
384.671,0.0347
385.047,0.0332
385.423,0.033
385.799,0.036
386.176,0.0346
386.552,0.0306
386.928,0.031
387.303,0.0288
387.679,0.0292
388.055,0.0279
388.431,0.0363
388.807,0.0296
389.183,0.0254
389.558,0.0245
389.934,0.026
390.309,0.0294
390.685,0.0216
391.061,0.0286
391.436,0.0279
391.811,0.0276
392.187,0.0291
392.562,0.027
392.938,0.0309
393.313,0.0254
393.688,0.028
394.063,0.0224
394.438,0.0273
394.814,0.0247
395.189,0.0248
395.564,0.0258
395.939,0.0261
396.314,0.0225
396.689,0.0233
397.063,0.0265
397.438,0.0252
397.813,0.0175
398.188,0.0247
398.563,0.0253
398.937,0.0225
399.312,0.0209
399.686,0.0223
400.061,0.0235
400.435,0.0274
400.81,0.0217
401.184,0.0242
401.559,0.0241
401.933,0.0235
402.307,0.0231
402.682,0.0251
403.056,0.0239
403.43,0.0208
403.804,0.0285
404.178,0.0286
404.552,0.0265
404.926,0.0267
405.3,0.024
405.674,0.0207
406.048,0.0239
406.422,0.0195
406.796,0.0239
407.169,0.0255
407.543,0.0251
407.917,0.0221
408.291,0.0215
408.664,0.0237
409.038,0.0228
409.411,0.0257
409.785,0.0216
410.158,0.0238
410.531,0.026
410.905,0.0223
411.278,0.0248
411.651,0.0217
412.025,0.0235
412.398,0.0238
412.771,0.0222
413.144,0.0252
413.517,0.0281
413.89,0.0288
414.263,0.0262
414.636,0.0241
415.009,0.0242
415.382,0.0269
415.755,0.0258
416.127,0.0327
416.5,0.0305
416.873,0.0284
417.245,0.0302
417.618,0.0291
417.991,0.0316
418.363,0.0323
418.736,0.0329
419.108,0.0349
419.48,0.0348
419.853,0.0374
420.225,0.0381
420.597,0.0392
420.97,0.0434
421.342,0.0429
421.714,0.045
422.086,0.0467
422.458,0.0497
422.83,0.0495
423.202,0.0512
423.574,0.0555
423.946,0.0571
424.318,0.0585
424.69,0.0637
425.061,0.0694
425.433,0.0699
425.805,0.0723
426.177,0.0719
426.548,0.0786
426.92,0.0826
427.291,0.0833
427.663,0.087
428.034,0.091
428.406,0.0886
428.777,0.0988
429.148,0.1007
429.519,0.0998
429.891,0.1131
430.262,0.1151
430.633,0.1177
431.004,0.1219
431.375,0.1253
431.746,0.128
432.117,0.1414
432.488,0.1489
432.859,0.1466
433.23,0.1555
433.601,0.1544
433.971,0.1691
434.342,0.1697
434.713,0.1785
435.083,0.1961
435.454,0.2129
435.825,0.2043
436.195,0.2089
436.566,0.2129
436.936,0.2198
437.306,0.2335
437.677,0.2412
438.047,0.2457
438.417,0.2551
438.788,0.2721
439.158,0.2731
439.528,0.2941
439.898,0.3034
440.268,0.3282
440.638,0.3331
441.008,0.344
441.378,0.3684
441.748,0.3737
442.118,0.3932
442.487,0.4112
442.857,0.4182
443.227,0.4247
443.597,0.4525
443.966,0.4686
444.336,0.4831
444.705,0.4915
445.075,0.5191
445.444,0.5306
445.814,0.5365
446.183,0.5485
446.552,0.5506
446.922,0.5603
447.291,0.5528
447.66,0.5771
448.029,0.5765
448.398,0.5712
448.768,0.5822
449.137,0.5633
449.506,0.5794
449.875,0.5646
450.243,0.5495
450.612,0.5492
450.981,0.5365
451.35,0.538
