Wavelength, W/m2 
346.47,0.683105748
346.85,0.232240079
347.23,0.165089026
347.611,0.08532303
347.991,0.068845796
348.371,0.066608234
348.751,0.093975535
349.131,0.090689036
349.511,0.066588412
349.891,0.047624337
350.27,0.071246461
350.65,0.054881725
351.03,0.043294447
351.41,0.059513519
351.79,0.065796503
352.169,0.054276078
352.549,0.067416327
352.928,0.070444633
353.308,0.065227212
353.687,0.061645549
354.067,0.070702632
3.54E+02,0.066462495
3.55E+02,0.061607541
3.55E+02,0.066289443
3.56E+02,0.048928256
3.56E+02,0.049888427
3.56E+02,0.063646983
3.57E+02,0.067987238
3.57E+02,0.05471824
3.57E+02,0.059858194
3.58E+02,0.054200807
3.58E+02,0.065703469
3.59E+02,0.05900969
3.59E+02,0.056490472
3.59E+02,0.070851518
3.60E+02,0.051352908
3.60E+02,0.060664781
3.61E+02,0.057934856
3.61E+02,0.0577221
3.61E+02,0.044641062
3.62E+02,0.057983764
3.62E+02,0.0451353
3.62E+02,0.055551431
3.63E+02,0.057844657
3.63E+02,0.050406069
3.64E+02,0.056633432
3.64E+02,0.055450327
3.64E+02,0.053726453
3.65E+02,0.056409307
3.65E+02,0.047352702
3.65E+02,0.056321159
3.66E+02,0.049018672
3.66E+02,0.042444128
3.67E+02,0.044928135
3.67E+02,0.041048592
3.67E+02,0.043057306
3.68E+02,0.048439065
3.68E+02,0.038835534
3.68E+02,0.04948533
3.69E+02,0.051376657
3.69E+02,0.044174591
3.70E+02,0.050470119
3.70E+02,0.047650576
3.70E+02,0.034689085
3.71E+02,0.045031204
3.71E+02,0.039138478
3.71E+02,0.03895829
3.72E+02,0.049456097
3.72E+02,0.03820595
3.73E+02,0.040260133
3.73E+02,0.036551367
3.73E+02,0.047925692
3.74E+02,0.046591855
3.74E+02,0.04324105
3.74E+02,0.046020389
3.75E+02,0.033926378
3.75E+02,0.037627285
3.76E+02,0.0344666
3.76E+02,0.043187151
3.76E+02,0.041294856
3.77E+02,0.040456852
3.77E+02,0.043566113
3.78E+02,0.039177616
3.78E+02,0.036986177
3.78E+02,0.027946501
3.79E+02,0.032431592
3.79E+02,0.037787091
3.79E+02,0.043910989
3.80E+02,0.033634423
3.80E+02,0.038387056
3.81E+02,0.041614592
3.81E+02,0.033819203
3.81E+02,0.031227612
3.82E+02,0.03907017
3.82E+02,0.0351051
3.82E+02,0.038177524
3.83E+02,0.034014859
3.83E+02,0.038677111
3.84E+02,0.031171443
3.84E+02,0.033257198
3.84E+02,0.03723738
3.85E+02,0.037658448
3.85E+02,0.030483543
3.85E+02,0.034563389
3.86E+02,0.031231746
3.86E+02,0.027769956
3.87E+02,0.032845244
3.87E+02,0.028759801
3.87E+02,0.030483855
3.88E+02,0.031167238
3.88E+02,0.02730105
3.88E+02,0.030528851
3.89E+02,0.030265458
3.89E+02,0.02724338
3.90E+02,0.02498873
3.90E+02,0.027635891
3.90E+02,0.024390302
3.91E+02,0.032776294
3.91E+02,0.029288589
3.91E+02,0.028383721
3.92E+02,0.023571513
3.92E+02,0.022655951
3.93E+02,0.025620267
3.93E+02,0.025098024
3.93E+02,0.025286013
3.94E+02,0.027584113
3.94E+02,0.024712818
3.94E+02,0.028917982
3.95E+02,0.028261725
3.95E+02,0.023427088
3.96E+02,0.028335771
3.96E+02,0.025129248
3.96E+02,0.026394505
3.97E+02,0.022225395
3.97E+02,0.026796721
3.97E+02,0.02652062
3.98E+02,0.024747489
3.98E+02,0.027612751
3.99E+02,0.028393045
3.99E+02,0.025988736
3.99E+02,0.030069264
4.00E+02,0.02204235
4.00E+02,0.021671951
4.00E+02,0.025948941
4.01E+02,0.024001962
4.01E+02,0.024160236
4.02E+02,0.025078907
4.02E+02,0.020770293
4.02E+02,0.023222098
4.03E+02,0.024557841
4.03E+02,0.023538366
4.03E+02,0.037378113
4.04E+02,0.046715426
4.04E+02,0.045128115
4.05E+02,0.031831422
4.05E+02,0.024838623
4.05E+02,0.026354068
4.06E+02,0.023499297
4.06E+02,0.023525277
4.06E+02,0.02634605
4.07E+02,0.02483367
4.07E+02,0.026075652
4.08E+02,0.02522618
4.08E+02,0.022585972
4.08E+02,0.023685751
4.09E+02,0.022067236
4.09E+02,0.022306818
4.09E+02,0.028024886
4.10E+02,0.025520023
4.10E+02,0.021946073
4.11E+02,0.024326304
4.11E+02,0.024645996
4.11E+02,0.019726971
4.12E+02,0.023107408
4.12E+02,0.022907293
4.12E+02,0.025950351
4.13E+02,0.024706023
4.13E+02,0.023473767
4.14E+02,0.024393075
4.14E+02,0.037470868
4.14E+02,0.025664007
4.15E+02,0.021996098
4.15E+02,0.023836604
4.15E+02,0.028598629
4.16E+02,0.027168929
4.16E+02,0.02980424
4.17E+02,0.026202517
4.17E+02,0.027297009
4.17E+02,0.028657566
4.18E+02,0.031970442
4.18E+02,0.027803306
4.18E+02,0.028985085
4.19E+02,0.030025804
4.19E+02,0.030402839
4.19E+02,0.030489311
4.20E+02,0.028498883
4.20E+02,0.033922003
4.21E+02,0.034153438
4.21E+02,0.033204703
4.21E+02,0.037851428
4.22E+02,0.037466661
4.22E+02,0.034073391
4.22E+02,0.039282111
4.23E+02,0.037265338
4.23E+02,0.041752889
4.24E+02,0.045523615
4.24E+02,0.048270007
4.24E+02,0.047759783
4.25E+02,0.04981547
4.25E+02,0.051214593
4.25E+02,0.055843457
4.26E+02,0.055180769
4.26E+02,0.05723407
4.27E+02,0.057718028
4.27E+02,0.05937252
4.27E+02,0.06197596
4.28E+02,0.067440281
4.28E+02,0.071058621
4.28E+02,0.069612247
4.29E+02,0.076162899
4.29E+02,0.076896835
4.30E+02,0.082143437
4.30E+02,0.082588722
4.30E+02,0.088313587
4.31E+02,0.089713785
4.31E+02,0.096365668
4.31E+02,0.103351422
4.32E+02,0.099540648
4.32E+02,0.107330061
4.32E+02,0.114648334
4.33E+02,0.115208132
4.33E+02,0.116593198
4.34E+02,0.126352246
4.34E+02,0.13304015
4.34E+02,0.136832455
4.35E+02,0.17855145
4.35E+02,0.205922321
4.35E+02,0.222904259
4.36E+02,0.179462621
4.36E+02,0.167595747
4.37E+02,0.167252517
4.37E+02,0.176392935
4.37E+02,0.189049902
4.38E+02,0.197041104
4.38E+02,0.205845336
4.38E+02,0.21083207
4.39E+02,0.227484973
4.39E+02,0.226604744
4.40E+02,0.247179696
4.40E+02,0.253709386
4.40E+02,0.280109784
4.41E+02,0.286511736
4.41E+02,0.299785404
4.41E+02,0.316073493
4.42E+02,0.331238967
4.42E+02,0.344489145
4.42E+02,0.364855126
4.43E+02,0.368934827
4.43E+02,0.387958649
4.44E+02,0.4006881
4.44E+02,0.424820623
4.44E+02,0.431834014
4.45E+02,0.443683567
4.45E+02,0.464563051
4.45E+02,0.474892441
4.46E+02,0.48284692
4.46E+02,0.500145283
4.47E+02,0.505982748
4.47E+02,0.518424483
4.47E+02,0.503717169
4.48E+02,0.518270109
4.48E+02,0.515105909
4.48E+02,0.524989056
4.49E+02,0.512896568
4.49E+02,0.510947582
4.50E+02,0.522063521
4.50E+02,0.512448631
4.50E+02,0.496605414
4.51E+02,0.487706467
4.51E+02,0.481377242
4.51E+02,0.474729739
4.52E+02,0.474504185
4.52E+02,0.470459057
4.52E+02,0.454164329
4.53E+02,0.456847858
4.53E+02,0.438611204
4.54E+02,0.423762273
4.54E+02,0.425629568
4.54E+02,0.429991356
4.55E+02,0.412655776
4.55E+02,0.416507375
4.55E+02,0.405140421
4.56E+02,0.394818371
4.56E+02,0.391331714
4.57E+02,0.390492861
4.57E+02,0.380548274
4.57E+02,0.377024771
4.58E+02,0.371886946
4.58E+02,0.369008644
4.58E+02,0.377901008
4.59E+02,0.364573494
4.59E+02,0.366667665
4.59E+02,0.360920631
4.60E+02,0.360665031
4.60E+02,0.356598326
4.61E+02,0.368541092
4.61E+02,0.367779722
4.61E+02,0.366511759
4.62E+02,0.373202556
4.62E+02,0.375412047
4.62E+02,0.376952387
4.63E+02,0.387355641
4.63E+02,0.38739311
4.63E+02,0.389819934
4.64E+02,0.398989084
4.64E+02,0.408780023
4.65E+02,0.418089251
4.65E+02,0.421218136
4.65E+02,0.439411002
4.66E+02,0.449421254
4.66E+02,0.456349079
4.66E+02,0.474919819
4.67E+02,0.482421321
4.67E+02,0.489829421
4.68E+02,0.511764777
4.68E+02,0.520602171
4.68E+02,0.533475094
4.69E+02,0.556767532
4.69E+02,0.568569382
4.69E+02,0.579837819
4.70E+02,0.601996792
4.70E+02,0.617681161
4.70E+02,0.625615791
4.71E+02,0.646135123
4.71E+02,0.655559206
4.72E+02,0.683473479
4.72E+02,0.696241703
4.72E+02,0.699615051
4.73E+02,0.721561499
4.73E+02,0.738691442
4.73E+02,0.743854593
4.74E+02,0.763397906
4.74E+02,0.77209041
4.74E+02,0.785049455
4.75E+02,0.788519211
4.75E+02,0.791549173
4.76E+02,0.80960703
4.76E+02,0.808911287
4.76E+02,0.812698158
4.77E+02,0.823271458
4.77E+02,0.816231251
4.77E+02,0.822166606
4.78E+02,0.823775638
4.78E+02,0.829020204
4.79E+02,0.818762232
4.79E+02,0.826812243
