Wavelength, W/m2 
339.619, -   
340, -   
340.381, -   
340.762, -   
341.143, -   
341.524, -   
341.904, -   
342.285, -   
342.666, -   
343.046, -   
343.427, -   
343.807, -   
344.188, -   
344.568, -   
344.949, -   
345.329, -   
345.71, -   
346.09, -   
346.47, 1.5593 
346.85, 0.1304 
347.23, 0.1234 
347.611, 0.0806 
347.991, 0.1117 
348.371, 0.0770 
348.751, 0.0740 
349.131, 0.0434 
349.511, 0.0513 
349.891, 0.0528 
350.27, 0.0544 
350.65, 0.0334 
351.03, 0.0537 
351.41, 0.0459 
351.79, 0.0458 
352.169, 0.0451 
352.549, 0.0485 
352.928, 0.0442 
353.308, 0.0510 
353.687, 0.0502 
354.067, 0.0386 
354.446, 0.0535 
354.826, 0.0446 
355.205, 0.0387 
355.584, 0.0433 
355.964, 0.0377 
356.343, 0.0522 
356.722, 0.0519 
357.101, 0.0540 
357.48, 0.0389 
357.859, 0.0574 
358.238, 0.0452 
358.617, 0.0599 
358.996, 0.0525 
359.375, 0.0393 
359.754, 0.0429 
360.133, 0.0478 
360.512, 0.0399 
360.891, 0.0374 
361.269, 0.0371 
361.648, 0.0357 
362.027, 0.0484 
362.405, 0.0335 
362.784, 0.0458 
363.162, 0.0358 
363.541, 0.0410 
363.919, 0.0338 
364.298, 0.0407 
364.676, 0.0389 
365.054, 0.0459 
365.433, 0.0365 
365.811, 0.0340 
366.189, 0.0339 
366.567, 0.0389 
366.945, 0.0410 
367.323, 0.0409 
367.701, 0.0394 
368.079, 0.0270 
368.457, 0.0396 
368.835, 0.0285 
369.213, 0.0347 
369.591, 0.0387 
369.969, 0.0276 
370.346, 0.0341 
370.724, 0.0322 
371.102, 0.0366 
371.479, 0.0290 
371.857, 0.0400 
372.235, 0.0391 
372.612, 0.0358 
372.99, 0.0355 
373.367, 0.0350 
373.744, 0.0359 
374.122, 0.0310 
374.499, 0.0297 
374.876, 0.0327 
375.254, 0.0310 
375.631, 0.0245 
376.008, 0.0354 
376.385, 0.0209 
376.762, 0.0297 
377.139, 0.0280 
377.516, 0.0270 
377.893, 0.0263 
378.27, 0.0296 
378.647, 0.0313 
379.024, 0.0305 
379.4, 0.0231 
