Wavelength, W/m2 
346.47,1.447376717
346.85,0.150112788
347.23,0.150891475
347.611,0.058159252
347.991,0.094738083
348.371,0.067880322
348.751,0.03716945
349.131,0.044472988
349.511,0.05332599
349.891,0.055506986
350.27,0.043160374
350.65,0.052277597
351.03,0.039964588
351.41,0.035384611
351.79,0.046871355
352.169,0.050275406
352.549,0.0581825
352.928,0.055270876
353.308,0.050880343
353.687,0.051183645
354.067,0.047810284
3.54E+02,0.051278664
3.55E+02,0.034901827
3.55E+02,0.067147471
3.56E+02,0.053265165
3.56E+02,0.054187857
3.56E+02,0.053151236
3.57E+02,0.037436889
3.57E+02,0.041044113
3.57E+02,0.043406052
3.58E+02,0.051047155
3.58E+02,0.04804743
3.59E+02,0.039189923
3.59E+02,0.039684366
3.59E+02,0.04944473
3.60E+02,0.051173519
3.60E+02,0.036259144
3.61E+02,0.037326875
3.61E+02,0.041661412
3.61E+02,0.035186928
3.62E+02,0.038411871
3.62E+02,0.038528689
3.62E+02,0.038503985
3.63E+02,0.035832536
3.63E+02,0.037217
3.64E+02,0.033792128
3.64E+02,0.040717335
3.64E+02,0.04693121
3.65E+02,0.040239215
3.65E+02,0.029928814
3.65E+02,0.032780359
3.66E+02,0.030064325
3.66E+02,0.036005392
3.67E+02,0.03607872
3.67E+02,0.030655609
3.67E+02,0.035167212
3.68E+02,0.036135543
3.68E+02,0.034760298
3.68E+02,0.038475505
3.69E+02,0.029687276
3.69E+02,0.033326565
3.70E+02,0.039892752
3.70E+02,0.03510918
3.70E+02,0.036302743
3.71E+02,0.042643559
3.71E+02,0.03078796
3.71E+02,0.033865886
3.72E+02,0.03697271
3.72E+02,0.032655929
3.73E+02,0.032281946
3.73E+02,0.037882803
3.73E+02,0.029815211
3.74E+02,0.03191953
3.74E+02,0.029916565
3.74E+02,0.02745952
3.75E+02,0.031662203
3.75E+02,0.038662907
3.76E+02,0.030439692
3.76E+02,0.032847029
3.76E+02,0.028173801
3.77E+02,0.033674705
3.77E+02,0.029673146
3.78E+02,0.030844842
3.78E+02,0.028329874
3.78E+02,0.025716125
3.79E+02,0.031479256
3.79E+02,0.026271096
3.79E+02,0.032473365
3.80E+02,0.028987868
3.80E+02,0.023595133
3.81E+02,0.030608979
3.81E+02,0.02791402
3.81E+02,0.028534874
3.82E+02,0.020243496
3.82E+02,0.019615087
3.82E+02,0.018333007
3.83E+02,0.017793054
3.83E+02,0.027156139
3.84E+02,0.025220061
3.84E+02,0.028116718
3.84E+02,0.027699996
3.85E+02,0.027283365
3.85E+02,0.023861761
3.85E+02,0.028562951
3.86E+02,0.023911151
3.86E+02,0.025057078
3.87E+02,0.030001737
3.87E+02,0.021741465
3.87E+02,0.021743363
3.88E+02,0.021196694
3.88E+02,0.021856785
3.88E+02,0.020813363
3.89E+02,0.01878605
3.89E+02,0.017465837
3.90E+02,0.017466335
3.90E+02,0.018660633
3.90E+02,0.024154556
3.91E+02,0.019898094
3.91E+02,0.019213921
3.91E+02,0.019001326
3.92E+02,0.02119552
3.92E+02,0.019162707
3.93E+02,0.021325311
3.93E+02,0.019730731
3.93E+02,0.019660194
3.94E+02,0.021860354
3.94E+02,0.019153469
3.94E+02,0.021451133
3.95E+02,0.017225584
3.95E+02,0.018016854
3.96E+02,0.017649231
3.96E+02,0.017095714
3.96E+02,0.020596862
3.97E+02,0.016769662
3.97E+02,0.016462959
3.97E+02,0.015136366
3.98E+02,0.016946867
3.98E+02,0.015580742
3.99E+02,0.016581607
3.99E+02,0.016606499
3.99E+02,0.016282104
4.00E+02,0.017028175
4.00E+02,0.017546342
4.00E+02,0.019647098
4.01E+02,0.013350433
4.01E+02,0.016734802
4.02E+02,0.018661228
4.02E+02,0.014507425
4.02E+02,0.015939547
4.03E+02,0.019916081
4.03E+02,0.019517026
4.03E+02,0.025520518
4.04E+02,0.039654904
4.04E+02,0.044153242
4.05E+02,0.022828361
4.05E+02,0.016021301
4.05E+02,0.017035004
4.06E+02,0.015025405
4.06E+02,0.01786497
4.06E+02,0.01460258
4.07E+02,0.017950069
4.07E+02,0.019020433
4.08E+02,0.018440852
4.08E+02,0.018397333
