Wavelength, W/m2 
339.619, -   
340, -   
340.381, -   
340.762, -   
341.143, -   
341.524, -   
341.904, -   
342.285, -   
342.666, -   
343.046, -   
343.427, -   
343.807, -   
344.188, -   
344.568, -   
344.949, -   
345.329, -   
345.71, -   
346.09, -   
346.47, 1.3727 
346.85, 0.1380 
347.23, 0.1447 
347.611, 0.0700 
347.991, 0.0728 
348.371, 0.0689 
348.751, 0.0614 
349.131, 0.0514 
349.511, 0.0453 
349.891, 0.0628 
350.27, 0.0372 
350.65, 0.0476 
351.03, 0.0509 
351.41, 0.0408 
351.79, 0.0431 
352.169, 0.0405 
352.549, 0.0631 
352.928, 0.0490 
353.308, 0.0405 
353.687, 0.0402 
354.067, 0.0565 
354.446, 0.0470 
354.826, 0.0526 
355.205, 0.0514 
355.584, 0.0435 
355.964, 0.0421 
356.343, 0.0384 
356.722, 0.0429 
357.101, 0.0455 
357.48, 0.0418 
357.859, 0.0465 
358.238, 0.0448 
358.617, 0.0376 
358.996, 0.0335 
359.375, 0.0485 
359.754, 0.0416 
360.133, 0.0465 
360.512, 0.0386 
360.891, 0.0377 
361.269, 0.0436 
361.648, 0.0421 
362.027, 0.0407 
362.405, 0.0413 
362.784, 0.0377 
363.162, 0.0355 
363.541, 0.0483 
363.919, 0.0355 
364.298, 0.0311 
364.676, 0.0346 
365.054, 0.0407 
365.433, 0.0261 
365.811, 0.0312 
366.189, 0.0328 
366.567, 0.0304 
366.945, 0.0339 
367.323, 0.0333 
367.701, 0.0359 
368.079, 0.0392 
368.457, 0.0336 
368.835, 0.0336 
369.213, 0.0367 
369.591, 0.0325 
369.969, 0.0356 
370.346, 0.0298 
370.724, 0.0317 
371.102, 0.0268 
371.479, 0.0371 
371.857, 0.0301 
372.235, 0.0283 
372.612, 0.0252 
372.99, 0.0308 
373.367, 0.0332 
373.744, 0.0322 
374.122, 0.0333 
374.499, 0.0323 
374.876, 0.0305 
375.254, 0.0345 
375.631, 0.0362 
376.008, 0.0351 
376.385, 0.0230 
376.762, 0.0239 
377.139, 0.0341 
377.516, 0.0227 
377.893, 0.0249 
378.27, 0.0238 
378.647, 0.0300 
379.024, 0.0265 
379.4, 0.0267 
