Wavelength, W/m2 
0.008375766,1.147190911
0.001354611,0.307296473
0.000697925,0.130200874
0.000472057,0.110010942
0.000356441,0.057655628
0.000285342,0.080651087
0.000236285,0.054333433
0.000199974,0.051562595
0.000174218,0.052481859
0.000154714,0.060033713
0.00013821,0.0587697
0.000128014,0.046895092
0.000125483,0.052580448
0.000124426,0.056379511
0.000123191,0.05047424
0.000122185,0.049304992
0.000121298,0.048194335
0.000120689,0.061793723
0.000120037,0.061831991
0.000118163,0.0561062
0.000116194,0.054811335
0.000115088,0.049651774
0.000114026,0.048132939
0.00011357,0.0521653
0.000112502,0.05446354
0.00011153,0.052956663
0.000110809,0.065665875
0.000110051,0.048160432
0.000108761,0.045573633
0.000107102,0.050854388
0.000106422,0.04756259
0.000106354,0.038631052
0.000105584,0.055042308
0.000105158,0.046019157
0.000103754,0.054088352
0.000103347,0.047789655
0.00010284,0.052336505
0.000101411,0.041236224
0.000100494,0.038683445
9.97988E-05,0.041818282
9.93401E-05,0.038854742
9.88505E-05,0.052451702
9.72388E-05,0.039539777
9.65386E-05,0.045239435
9.54852E-05,0.040010779
9.50083E-05,0.034804159
9.40002E-05,0.048129024
9.30336E-05,0.038983482
9.22343E-05,0.043794815
9.13082E-05,0.038260491
8.98144E-05,0.042367608
8.91901E-05,0.043177997
8.81677E-05,0.041316688
8.76823E-05,0.038100005
8.69468E-05,0.03319848
8.61152E-05,0.036084515
8.52512E-05,0.030437831
8.44781E-05,0.03749365
8.34502E-05,0.036002594
8.27468E-05,0.028003998
8.22316E-05,0.036496563
8.21074E-05,0.036950037
8.16369E-05,0.036232625
8.09138E-05,0.040425298
8.05728E-05,0.040505445
8.02662E-05,0.038609241
7.98966E-05,0.031249843
7.96535E-05,0.035352356
7.93639E-05,0.033501316
7.905E-05,0.04071916
7.89774E-05,0.034562103
7.83629E-05,0.032107033
7.81625E-05,0.028391027
7.73697E-05,0.025705019
7.72038E-05,0.034025047
7.6374E-05,0.027977912
7.52551E-05,0.032933154
7.39778E-05,0.039941125
7.32115E-05,0.040208538
7.22837E-05,0.030961213
7.1593E-05,0.032440044
7.05203E-05,0.028019305
6.97113E-05,0.027266068
6.88503E-05,0.031624566
6.8144E-05,0.027920122
6.7369E-05,0.025097257
6.68686E-05,0.026776294
6.64135E-05,0.032563765
6.64446E-05,0.025782574
6.57663E-05,0.023480976
6.50752E-05,0.029285185
6.44424E-05,0.032396423
6.40424E-05,0.029416192
6.35614E-05,0.027225217
6.28123E-05,0.026709055
6.24237E-05,0.030220073
6.18905E-05,0.032264304
6.13746E-05,0.023054207
6.08346E-05,0.027188408
6.01728E-05,0.026519194
5.96765E-05,0.028335673
5.91753E-05,0.027363912
5.84312E-05,0.022129518
5.76839E-05,0.022025138
5.68266E-05,0.027158441
5.6237E-05,0.024436269
5.5389E-05,0.025097707
5.44803E-05,0.027725692
5.36506E-05,0.025141476
5.31152E-05,0.020445852
5.23309E-05,0.027118725
5.1753E-05,0.023129621
5.10385E-05,0.021070332
5.04232E-05,0.02081632
4.99778E-05,0.021871302
4.94479E-05,0.016734673
4.8781E-05,0.018323641
4.79972E-05,0.020558607
4.74094E-05,0.019424685
4.68848E-05,0.012525278
4.62822E-05,0.020971272
4.58806E-05,0.023918148
4.5338E-05,0.022792254
4.4907E-05,0.021600956
4.47465E-05,0.01861136
4.44267E-05,0.017101374
4.42178E-05,0.023188249
4.41508E-05,0.021373945
4.41945E-05,0.017970636
4.41185E-05,0.022452475
4.38853E-05,0.018117247
4.35142E-05,0.017289162
4.294E-05,0.020388808
4.23505E-05,0.016433306
4.19036E-05,0.020156279
4.14719E-05,0.020077035
4.08784E-05,0.017129108
4.062E-05,0.017398732
4.02984E-05,0.014762411
4.00574E-05,0.018523365
3.98706E-05,0.018189532
3.98816E-05,0.020419765
3.96558E-05,0.016985763
3.94314E-05,0.014933764
3.92454E-05,0.015836639
3.89123E-05,0.016305244
3.8655E-05,0.022547556
3.84426E-05,0.019563902
3.81635E-05,0.018002642
3.78519E-05,0.019732679
3.75362E-05,0.017822991
3.72983E-05,0.029039417
3.70024E-05,0.039361024
3.67371E-05,0.041583707
3.65058E-05,0.026159434
3.62092E-05,0.017754017
3.59798E-05,0.014853621
3.57089E-05,0.01673374
3.54144E-05,0.018462002
3.52236E-05,0.019563358
3.49388E-05,0.019946605
3.47184E-05,0.01852965
3.444E-05,0.016993212
3.41603E-05,0.015796444
3.39154E-05,0.014842082
3.36914E-05,0.015788276
3.34244E-05,0.016699122
3.32025E-05,0.016382644
3.30243E-05,0.015168829
3.28838E-05,0.013065475
3.26585E-05,0.017126455
3.25459E-05,0.013133206
3.24196E-05,0.014790269
3.22292E-05,0.015702766
3.15408E-05,0.018495515
3.14373E-05,0.019701648
3.13423E-05,0.014590421
3.12541E-05,0.013096273
3.11904E-05,0.013746154
3.10523E-05,0.033705207
3.09742E-05,0.014227182
3.09466E-05,0.014981601
3.08458E-05,0.013116257
3.07232E-05,0.013159644
3.07217E-05,0.014301496
3.11878E-05,0.013841995
3.11578E-05,0.015760108
3.10847E-05,0.017168301
3.09932E-05,0.017886402
3.09451E-05,0.015748337
3.08976E-05,0.014670827
3.0729E-05,0.018971888
3.06249E-05,0.01520565
3.0527E-05,0.014778464
3.04242E-05,0.013691505
3.03135E-05,0.013735564
3.0206E-05,0.013593319
3.00799E-05,0.015214907
2.9981E-05,0.011633571
2.9908E-05,0.016703674
2.97496E-05,0.015693119
2.96054E-05,0.013414706
2.952E-05,0.015480602
2.93728E-05,0.01494817
2.92638E-05,0.01244357
2.91808E-05,0.011956021
2.90373E-05,0.015137545
2.88919E-05,0.012912467
2.87347E-05,0.0152471
2.85712E-05,0.014363263
2.84031E-05,0.014366718
2.82441E-05,0.013761156
2.80917E-05,0.016472967
2.79466E-05,0.014828926
2.77885E-05,0.01396978
2.76435E-05,0.013639724
2.74959E-05,0.016379364
2.73143E-05,0.01457799
2.71464E-05,0.013057805
2.70225E-05,0.015427221
2.68984E-05,0.011104506
2.67607E-05,0.012540437
2.66368E-05,0.013803594
2.65212E-05,0.011935065
2.6377E-05,0.014322835
2.62735E-05,0.012719332
2.60637E-05,0.014637646
2.59338E-05,0.01504694
2.58159E-05,0.013618069
2.57343E-05,0.017483778
2.55929E-05,0.013738531
2.5445E-05,0.012949292
2.52987E-05,0.017030834
2.51695E-05,0.013121212
2.50355E-05,0.022130584
2.49554E-05,0.062050343
2.48699E-05,0.081186529
2.48125E-05,0.077845499
2.47293E-05,0.035656715
2.46412E-05,0.018650435
2.45683E-05,0.015092206
2.45051E-05,0.012622752
2.44622E-05,0.014496455
2.44377E-05,0.012588026
2.44398E-05,0.013422606
2.43945E-05,0.01286826
2.43398E-05,0.014046688
2.42778E-05,0.012129421
2.4244E-05,0.016395854
2.41931E-05,0.012462009
2.4174E-05,0.012002704
2.41075E-05,0.01286647
2.40693E-05,0.014338129
2.40314E-05,0.014911573
2.40346E-05,0.01312565
2.39666E-05,0.013311132
2.39381E-05,0.013295309
2.39043E-05,0.013424935
2.38941E-05,0.015344639
2.38979E-05,0.01356937
2.38721E-05,0.011926722
2.38508E-05,0.013838346
2.38479E-05,0.013910555
2.38232E-05,0.0121977
2.38227E-05,0.012788297
2.37564E-05,0.013120819
2.37456E-05,0.013924398
2.37225E-05,0.011999217
2.36829E-05,0.01249289
2.36266E-05,0.013635101
2.35724E-05,0.013896118
2.3538E-05,0.012708319
2.34938E-05,0.011009524
2.34271E-05,0.013955551
2.33446E-05,0.013616982
2.32725E-05,0.013719317
2.32192E-05,0.012824148
2.31283E-05,0.013562392
2.30769E-05,0.014390772
2.29967E-05,0.013913117
2.29441E-05,0.012956718
2.28613E-05,0.012626457
2.27275E-05,0.015652102
2.26421E-05,0.012786181
2.25943E-05,0.013249303
2.25389E-05,0.012168923
2.24333E-05,0.014754215
2.2367E-05,0.014155894
2.23163E-05,0.014815776
2.22246E-05,0.012688087
2.21766E-05,0.012523316
2.2104E-05,0.013509962
2.20365E-05,0.011692918
2.20017E-05,0.014879468
2.19202E-05,0.013805211
2.18369E-05,0.011925428
2.17469E-05,0.013224337
2.17027E-05,0.011515829
2.16326E-05,0.009936365
2.15623E-05,0.012510545
2.14819E-05,0.012330574
2.14253E-05,0.012431063
2.13407E-05,0.01304343
2.1271E-05,0.009836157
2.11978E-05,0.010985036
2.11705E-05,0.011430104
2.11305E-05,0.01134308
2.10839E-05,0.011383375
