Wavelength, W/m2 
339.619, -   
340, -   
340.381, -   
340.762, -   
341.143, -   
341.524, -   
341.904, -   
342.285, -   
342.666, -   
343.046, -   
343.427, -   
343.807, -   
344.188, -   
344.568, -   
344.949, -   
345.329, -   
345.71, -   
346.09, -   
346.47, 0 
346.85, 0 
347.23, 0 
347.611, 0 
347.991, 0 
348.371, 0 
348.751, 0 
349.131, 0 
349.511, 0 
349.891, 0 
350.27, 0 
350.65, 0 
351.03, 0 
351.41, 0 
351.79, 0 
352.169, 0 
352.549, 0 
352.928, 0 
353.308, 0 
353.687, 0 
354.067, 0 
354.446, 0 
354.826, 0 
355.205, 0 
355.584, 0 
355.964, 0 
356.343, 0 
356.722, 0 
357.101, 0 
357.48, 0 
357.859, 0 
358.238, 0 
358.617, 0 
358.996, 0 
359.375, 0 
359.754, 0 
360.133, 0 
360.512, 0 
360.891, 0 
361.269, 0 
361.648, 0 
362.027, 0 
362.405, 0 
362.784, 0 
363.162, 0 
363.541, 0 
363.919, 0 
364.298, 0 
364.676, 0 
365.054, 0 
365.433, 0 
365.811, 0 
366.189, 0 
366.567, 0 
366.945, 0 
367.323, 0 
367.701, 0 
368.079, 0 
368.457, 0 
368.835, 0 
369.213, 0 
369.591, 0 
369.969, 0 
370.346, 0 
370.724, 0 
371.102, 0 
371.479, 0 
371.857, 0 
372.235, 0 
372.612, 0 
372.99, 0 
373.367, 0 
373.744, 0 
374.122, 0 
374.499, 0 
374.876, 0 
375.254, 0 
375.631, 0 
376.008, 0 
376.385, 0 
376.762, 0 
377.139, 0 
377.516, 0 
377.893, 0 
378.27, 0 
378.647, 0 
379.024, 0 
379.4, 0 
379.777, 0 
380.154, 0 
380.53, 0 
380.907, 0 
381.284, 0 
381.66, 0 
382.037, 0 
382.413, 0 
382.79, 0 
383.166, 0 
383.542, 0 
383.919, 0 
384.295, 0 
384.671, 0 
385.047, 0 
385.423, 0 
385.799, 0 
386.176, 0 
386.552, 0 
386.928, 0 
387.303, 0 
387.679, 0 
388.055, 0 
388.431, 0 
388.807, 0 
389.183, 0 
389.558, 0 
389.934, 0 
390.309, 0 
390.685, 0 
391.061, 0 
391.436, 0 
391.811, 0 
