Wavelength, W/m2 
0.008375766,2.073687728
0.001354611,0.12543231
0.000697925,0.062463998
0.000472057,0.096387789
0.000356441,0.076092253
0.000285342,0.056492106
0.000236285,0.046047983
0.000199974,0.054466862
0.000174218,0.039352148
0.000154714,0.037344049
0.00013821,0.04878346
0.000128014,0.043200715
0.000125483,0.055181656
0.000124426,0.054716948
0.000123191,0.045391434
0.000122185,0.033659346
0.000121298,0.046573568
0.000120689,0.05494383
0.000120037,0.039020305
0.000118163,0.045735782
0.000116194,0.042453211
0.000115088,0.052750339
0.000114026,0.056858751
0.00011357,0.049238075
0.000112502,0.058539139
0.00011153,0.059761656
0.000110809,0.043920237
0.000110051,0.051124764
0.000108761,0.042433528
0.000107102,0.040459619
0.000106422,0.038883072
0.000106354,0.037539337
0.000105584,0.043485612
0.000105158,0.04526539
0.000103754,0.043374593
0.000103347,0.035516374
0.00010284,0.042355416
0.000101411,0.043966563
0.000100494,0.038896785
9.97988E-05,0.041721073
9.93401E-05,0.032907625
9.88505E-05,0.038566956
9.72388E-05,0.036733548
9.65386E-05,0.034074845
9.54852E-05,0.03755087
9.50083E-05,0.042663125
9.40002E-05,0.047455234
9.30336E-05,0.033125794
9.22343E-05,0.044277419
9.13082E-05,0.030813635
8.98144E-05,0.036712612
8.91901E-05,0.037839639
8.81677E-05,0.024834494
8.76823E-05,0.034482278
8.69468E-05,0.034462316
8.61152E-05,0.029327876
8.52512E-05,0.033261137
8.44781E-05,0.030603832
8.34502E-05,0.024023613
8.27468E-05,0.031771482
8.22316E-05,0.031828338
8.21074E-05,0.030762134
8.16369E-05,0.035393609
8.09138E-05,0.031067703
8.05728E-05,0.037430585
8.02662E-05,0.027335892
7.98966E-05,0.035134996
7.96535E-05,0.034533724
7.93639E-05,0.027028604
7.905E-05,0.028146753
7.89774E-05,0.031548127
7.83629E-05,0.036160289
7.81625E-05,0.024196842
7.73697E-05,0.027069255
7.72038E-05,0.028924953
7.6374E-05,0.03500601
7.52551E-05,0.029361104
7.39778E-05,0.02611162
7.32115E-05,0.025841162
7.22837E-05,0.029994465
7.1593E-05,0.032814644
7.05203E-05,0.028169894
6.97113E-05,0.022229145
6.88503E-05,0.029636745
6.8144E-05,0.023418523
6.7369E-05,0.023778961
6.68686E-05,0.020700565
6.64135E-05,0.026529383
6.64446E-05,0.020775081
6.57663E-05,0.027901881
6.50752E-05,0.028818729
6.44424E-05,0.023545086
6.40424E-05,0.030544631
6.35614E-05,0.022828701
6.28123E-05,0.021002662
6.24237E-05,0.026870429
6.18905E-05,0.02664089
6.13746E-05,0.026418834
6.08346E-05,0.026374784
6.01728E-05,0.023850143
5.96765E-05,0.020878956
5.91753E-05,0.024005312
5.84312E-05,0.021891645
5.76839E-05,0.02071772
5.68266E-05,0.022875794
5.6237E-05,0.020895412
5.5389E-05,0.020065715
5.44803E-05,0.021931279
5.36506E-05,0.018604531
5.31152E-05,0.018583339
5.23309E-05,0.020093003
5.1753E-05,0.022116904
5.10385E-05,0.020387724
5.04232E-05,0.013109137
4.99778E-05,0.019189502
4.94479E-05,0.019599222
4.8781E-05,0.017671836
4.79972E-05,0.01634619
4.74094E-05,0.017615425
4.68848E-05,0.019164677
4.62822E-05,0.020639523
4.58806E-05,0.018754197
4.5338E-05,0.017548399
4.4907E-05,0.013901911
4.47465E-05,0.014129367
4.44267E-05,0.016232019
4.42178E-05,0.016155684
4.41508E-05,0.017773118
4.41945E-05,0.020530852
4.41185E-05,0.024461204
4.38853E-05,0.016170104
4.35142E-05,0.014954199
4.294E-05,0.013425952
4.23505E-05,0.016392055
4.19036E-05,0.018557131
4.14719E-05,0.016823651
4.08784E-05,0.014302077
4.062E-05,0.015848063
4.02984E-05,0.015722584
4.00574E-05,0.01649795
3.98706E-05,0.015679653
3.98816E-05,0.017538158
3.96558E-05,0.018299064
3.94314E-05,0.015995889
3.92454E-05,0.016771723
3.89123E-05,0.016749866
3.8655E-05,0.014482376
3.84426E-05,0.017620137
3.81635E-05,0.0218691
3.78519E-05,0.017232179
3.75362E-05,0.014296173
3.72983E-05,0.027037999
3.70024E-05,0.04012807
3.67371E-05,0.038018197
3.65058E-05,0.024540169
3.62092E-05,0.0167086
3.59798E-05,0.013257235
3.57089E-05,0.016477779
3.54144E-05,0.014366362
3.52236E-05,0.016799697
3.49388E-05,0.015364519
3.47184E-05,0.019249349
3.444E-05,0.015572236
3.41603E-05,0.014280788
3.39154E-05,0.009973639
3.36914E-05,0.013249598
3.34244E-05,0.013559062
3.32025E-05,0.014498176
3.30243E-05,0.011963671
3.28838E-05,0.013135696
3.26585E-05,0.015070171
3.25459E-05,0.013000711
3.24196E-05,0.011242191
3.22292E-05,0.016370464
3.15408E-05,0.015043213
3.14373E-05,0.015383656
3.13423E-05,0.01436576
3.12541E-05,0.012387892
3.11904E-05,0.016036401
3.10523E-05,0.031076495
3.09742E-05,0.013141055
3.09466E-05,0.014376416
3.08458E-05,0.010696465
3.07232E-05,0.01170134
3.07217E-05,0.013605181
3.11878E-05,0.018355121
3.11578E-05,0.013798314
3.10847E-05,0.01289874
3.09932E-05,0.012572809
3.09451E-05,0.012361245
3.08976E-05,0.014257591
3.0729E-05,0.014941897
3.06249E-05,0.013942082
3.0527E-05,0.015789821
3.04242E-05,0.012247395
3.03135E-05,0.014457831
3.0206E-05,0.017215614
3.00799E-05,0.013880292
2.9981E-05,0.011046894
2.9908E-05,0.013059596
2.97496E-05,0.01354359
2.96054E-05,0.010266308
2.952E-05,0.012615544
2.93728E-05,0.016285521
2.92638E-05,0.011236159
2.91808E-05,0.012380184
2.90373E-05,0.014209262
2.88919E-05,0.016914397
2.87347E-05,0.013081553
2.85712E-05,0.01362685
2.84031E-05,0.01108158
2.82441E-05,0.012682935
2.80917E-05,0.013920881
2.79466E-05,0.011163486
2.77885E-05,0.01247831
2.76435E-05,0.015155172
2.74959E-05,0.013284649
2.73143E-05,0.010995486
2.71464E-05,0.010759748
2.70225E-05,0.014060884
2.68984E-05,0.012829015
2.67607E-05,0.013427016
2.66368E-05,0.010970561
2.65212E-05,0.011169687
2.6377E-05,0.011762821
2.62735E-05,0.012612701
2.60637E-05,0.012834833
2.59338E-05,0.012851529
2.58159E-05,0.012952994
2.57343E-05,0.016102558
2.55929E-05,0.013396562
2.5445E-05,0.01221497
2.52987E-05,0.012850211
2.51695E-05,0.014423087
2.50355E-05,0.018691897
2.49554E-05,0.058468076
2.48699E-05,0.080699867
2.48125E-05,0.076744907
2.47293E-05,0.034789879
2.46412E-05,0.016793392
2.45683E-05,0.012936308
2.45051E-05,0.010852158
2.44622E-05,0.011743182
2.44377E-05,0.01218581
2.44398E-05,0.011050607
2.43945E-05,0.013373949
2.43398E-05,0.01274062
2.42778E-05,0.013611037
2.4244E-05,0.012615083
2.41931E-05,0.010713962
2.4174E-05,0.011829426
2.41075E-05,0.014487008
2.40693E-05,0.013568667
2.40314E-05,0.013547327
2.40346E-05,0.011090712
2.39666E-05,0.013584981
2.39381E-05,0.013420561
2.39043E-05,0.01325359
2.38941E-05,0.012211022
2.38979E-05,0.010657278
2.38721E-05,0.012791535
2.38508E-05,0.013002005
2.38479E-05,0.010856844
2.38232E-05,0.011657741
2.38227E-05,0.012100495
2.37564E-05,0.012655948
2.37456E-05,0.011325323
2.37225E-05,0.010652508
2.36829E-05,0.012837138
2.36266E-05,0.011708177
2.35724E-05,0.011242706
2.3538E-05,0.010861519
2.34938E-05,0.010768362
2.34271E-05,0.01110084
2.33446E-05,0.011134091
2.32725E-05,0.013768723
2.32192E-05,0.012081862
2.31283E-05,0.011891282
2.30769E-05,0.009146787
2.29967E-05,0.012322447
2.29441E-05,0.012578799
2.28613E-05,0.0120375
2.27275E-05,0.012178209
2.26421E-05,0.012483357
2.25943E-05,0.012597249
2.25389E-05,0.010610197
2.24333E-05,0.013828627
2.2367E-05,0.012747874
2.23163E-05,0.01209641
2.22246E-05,0.014457653
2.21766E-05,0.01291435
2.2104E-05,0.014036625
2.20365E-05,0.012286219
2.20017E-05,0.011516779
2.19202E-05,0.013240498
2.18369E-05,0.012174942
2.17469E-05,0.012124753
2.17027E-05,0.011561902
2.16326E-05,0.010317535
2.15623E-05,0.011152916
2.14819E-05,0.011177861
2.14253E-05,0.011015706
2.13407E-05,0.010046138
2.1271E-05,0.011397777
2.11978E-05,0.011227248
2.11705E-05,0.011540876
2.11305E-05,0.011584523
2.10839E-05,0.011101654
2.10301E-05,0.012376952
2.09533E-05,0.010837944
2.09019E-05,0.009321191
2.08551E-05,0.010463926
2.07877E-05,0.0104945
2.07625E-05,0.009838268
2.07274E-05,0.009307547
2.06929E-05,0.010382536
2.06174E-05,0.011047554
2.05208E-05,0.011377597
2.04646E-05,0.0112828
2.03892E-05,0.010862126
